Sec	mm	kN
8.03125	1.2438542	128.83351
8.1308594	1.2438542	127.15012
8.2304688	1.1678936	126.49973
8.3300781	1.215369	125.77281
8.4296875	1.1678936	124.01291
8.5292969	1.1678936	123.40076
8.6289063	1.1963788	122.32952
8.7285156	1.1868838	121.7939
8.828125	1.1394085	119.88096
8.9277344	1.1868838	118.77145
9.0273438	1.1204183	118.00628
9.1269531	1.1014282	115.97856
9.2265625	1.1204183	115.55772
9.3261719	1.1109232	114.1804
9.4257813	1.072943	113.03264
9.5253906	1.1394085	112.15269
9.625	1.0349627	111.38751
9.7246094	1.0919331	110.89015
9.8242188	1.0064775	108.55637
9.9238281	1.0064775	108.28855
10.023438	1.0349627	107.14079
10.123047	1.0064775	104.76875
10.222656	0.96849716	104.19486
10.322266	0.98748732	103.62099
10.421875	0.97799224	101.32545
10.521484	0.96849716	100.48376
10.621094	0.96849716	99.909882
10.720703	0.90203166	99.37426
10.820313	0.97799224	96.810921
10.919922	0.96849716	96.466591
11.019531	0.96849716	95.433609
11.119141	0.9305169	94.094551
11.21875	0.8640514	94.018036
11.318359	0.90203166	92.717232
11.417969	0.92102182	91.799026
11.517578	0.89253658	90.766037
11.617188	0.83556616	88.967873
11.716797	0.8640514	89.159172
11.816406	0.82607108	86.787125
11.916016	0.84506124	87.016678
12.015625	0.84506124	85.103737
12.115234	0.80708092	83.879463
12.214844	0.83556616	82.61692
12.314453	0.80708092	82.884735
12.414063	0.7975859	81.392639
12.513672	0.77859575	79.441444
12.613281	0.75011051	79.135376
12.712891	0.76910067	78.791046
12.8125	0.76910067	75.232979
12.912109	0.75960559	75.309494
13.011719	0.75011051	74.467804
13.111328	0.73112041	73.052231
13.210938	0.71213025	72.32531
13.310547	0.70263517	70.527153
13.410156	0.72162533	69.95327
13.509766	0.67414993	68.575951
13.609375	0.70263517	67.428192
13.708984	0.69314009	67.466446
13.808594	0.69314009	65.132668
13.908203	0.66465491	65.630028
14.007813	0.62667459	63.525795
14.107422	0.61717951	62.263256
14.207031	0.60768443	61.995445
14.306641	0.56970417	61.115494
14.40625	0.57919925	60.082508
14.505859	0.58869433	59.011261
14.605469	0.61717951	57.327877
14.705078	0.56970417	56.983547
14.804688	0.58869433	55.453197
14.904297	0.52222884	55.261902
15.003906	0.53172392	53.922844
15.103516	0.53172392	52.622047
15.203125	0.53172392	51.703838
15.302734	0.51273376	50.900402
15.402344	0.50323868	49.599606
15.501953	0.48424852	47.801441
15.601563	0.51273376	46.653679
15.701172	0.44626826	46.424126
15.800781	0.43677318	44.128601
15.900391	0.4272781	44.396412
16	0.43677318	42.713028
16.099609	0.44626826	41.909592
16.199219	0.43677318	41.297451
16.298828	0.37030768	40.494019
16.398438	0.38929781	39.23148
16.498047	0.30384219	37.892422
16.597656	0.39879289	36.821178
16.697266	0.35131752	36.515106
16.796875	0.35131752	34.296097
16.896484	0.37030768	34.143063
16.996094	0.37980276	32.268383
17.095703	0.31333727	30.929327
17.195313	0.3323274	30.967587
17.294922	0.30384219	29.743305
17.394531	0.29434711	29.513752
17.494141	0.27535698	27.562555
17.59375	0.27535698	26.223499
17.693359	0.32283232	26.18524
17.792969	0.24687175	24.693148
17.892578	0.23737669	23.889713
17.992188	0.2658619	22.818468
18.091797	0.24687175	21.900257
18.191406	0.16141611	21.364635
18.291016	0.18990132	19.757767
18.390625	0.16141611	19.489956
18.490234	0.17091119	17.309206
18.589844	0.25636682	17.577017
18.689453	0.18040626	16.735325
18.789063	0.16141611	15.587562
18.888672	0.15192105	15.051939
18.988281	0.11394076	13.062483
