Sec	mm	kN
8.1181641	1.2533494	78.69828
8.2177734	1.2533494	77.35923
8.3173828	1.1963789	76.326241
8.4169922	1.1678938	74.642853
8.5166016	1.1773888	73.609871
8.6162109	1.205874	72.768173
8.7158203	1.205874	71.735191
8.8154297	1.1109233	69.82225
8.9150391	1.1678938	69.516182
9.0146484	1.1583986	67.603241
9.1142578	1.1204184	67.411949
9.2138672	1.1394085	66.149406
9.3134766	1.1109233	64.886871
9.4130859	1.0064775	62.782635
9.5126953	1.1014283	61.558357
9.6123047	1.1109233	60.334076
9.7119141	1.063448	59.186314
9.8115234	1.0539529	57.694221
9.9111328	0.98748738	55.819542
10.010742	1.072943	55.972576
10.110352	1.0254676	53.485756
10.209961	1.0254676	52.45277
10.30957	1.0064775	51.228489
10.40918	1.0254676	50.463314
10.508789	1.0064775	48.932964
10.608398	0.95900214	48.053013
10.708008	0.93051696	46.331367
10.807617	0.98748738	44.227135
10.907227	0.94001204	43.194149
11.006836	0.92102188	42.237679
11.106445	0.90203172	40.898621
11.206055	0.93051696	39.636082
11.305664	0.89253664	38.832649
11.405273	0.93051696	38.14399
11.504883	0.88304162	35.886723
11.604492	0.85455638	34.39463
11.704102	0.88304162	33.170349
11.803711	0.88304162	32.137363
11.90332	0.83556622	30.453979
12.00293	0.90203172	29.229698
12.102539	0.85455638	27.775866
12.202148	0.83556622	26.589844
12.301758	0.82607114	25.824667
12.401367	0.77859581	24.562128
12.500977	0.81657612	23.376106
12.600586	0.81657612	21.845757
12.700195	0.78809088	21.616203
12.799805	0.77859581	20.544958
12.899414	0.73112047	19.129383
12.999023	0.74061555	17.484257
13.098633	0.73112047	16.489529
13.198242	0.69314015	15.303507
13.297852	0.74061555	13.96445
13.397461	0.70263523	13.543604
13.49707	0.70263523	11.745441
13.59668	0.69314015	11.401113
13.696289	0.70263523	10.291609
13.795898	0.65515989	8.6847401
13.895508	0.63616973	7.8430476
13.995117	0.60768455	6.3892145
14.094727	0.66465497	5.8918505
14.194336	0.58869439	4.97364
14.293945	0.65515989	3.0989604
14.393555	0.59818947	2.3720438
14.493164	0.62667465	2.5633378
14.592773	0.61717963	1.1095046
14.692383	0.50323874	0.11477664
14.791992	0.60768455	-1.0712451
14.891602	0.50323874	-1.9894555
14.991211	0.5222289	-2.8694072
15.09082	0.59818947	-4.3997579
15.19043	0.51273382	-5.2797093
15.290039	0.54121906	-6.312696
15.389648	0.53172398	-7.4987178
15.489258	0.4557634	-7.5752354
15.588867	0.4557634	-8.6066732
15.688477	0.51273382	-9.8655615
15.788086	0.49374369	-10.437784
15.887695	0.49374369	-11.048154
15.987305	0.41778311	-12.001858
16.086914	0.3892979	-12.76482
16.186523	0.46525848	-13.489635
16.286133	0.43677324	-14.443338
16.385742	0.37980282	-15.511486
16.485352	0.40828803	-15.854819
16.584961	0.39879298	-17.037411
16.68457	0.39879298	-17.838522
16.78418	0.37980282	-18.639633
16.883789	0.32283241	-19.021114
16.983398	0.33232749	-20.241856
17.083008	0.33232749	-20.852224
17.182617	0.34182253	-22.149261
17.282227	0.27535704	-22.797781
17.381836	0.2943472	-23.560743
17.481445	0.28485212	-24.743336
17.581055	0.2943472	-24.895927
17.680664	0.26586199	-25.735188
17.780273	0.2943472	-26.421854
17.879883	0.2943472	-28.062223
17.979492	0.20889156	-28.52
18.079102	0.22788168	-29.359261
18.178711	0.19939648	-30.389259
18.27832	0.19939648	-30.618149
18.37793	0.19939648	-31.342962
18.477539	0.17091127	-32.678146
18.577148	0.17091127	-33.174072
18.676758	0.15192112	-34.318516
18.776367	0.18990141	-35.348518
18.875977	0.17091127	-35.462963
18.975586	0.15192112	-36.798145
19.075195	0.11394083	-37.446663
19.174805	0.13293098	-38.362221
19.274414	0.14242604	-39.16333
19.374023	0.13293098	-39.354073
19.473633	0.094950698	-41.070736
19.573242	0.03798027	-41.757404
19.672852	0.094950698	-42.367775
19.772461	0.085455626	-43.321476
19.87207	0.03798027	-44.237034
19.97168	-1.6345938e-08	-45.076294
20.071289	0.066465482	-45.648514
20.170898	0.047475338	-47.250736
20.270508	0.0094950544	-47.517773
20.370117	0.047475338	-47.55592
20.469727	-0.0094950879	-49.310734
20.569336	-0.018990159	-49.959255
20.668945	0.0094950544	-50.340736
20.768555	-0.075960584	-51.790363
20.868164	-0.085455656	-51.561474
20.967773	-0.037980299	-52.591476
21.067383	-0.047475372	-53.545177
21.166992	-0.037980299	-53.964809
21.266602	-0.094950728	-54.537029
21.366211	-0.12343594	-55.376289
21.46582	-0.066465512	-56.635178
