Sec	mm	kN
15.092773	0.52222943	-47.956413
15.192383	0.55071467	-48.337894
15.291992	0.55071467	-49.558632
15.391602	0.49374422	-50.588634
15.491211	0.45576394	-51.923817
15.59082	0.46525902	-52.343449
15.69043	0.42727873	-53.602337
15.790039	0.49374422	-54.098263
15.889648	0.45576394	-55.051964
15.989258	0.41778365	-55.929371
16.088867	0.41778365	-57.073818
16.188477	0.38929844	-58.06567
16.288086	0.39879352	-58.714188
16.387695	0.37980336	-60.087521
16.487305	0.42727873	-61.231964
16.586914	0.40828857	-61.956779
16.686523	0.34182307	-62.338261
16.786133	0.38929844	-63.482704
16.885742	0.35131815	-64.054924
16.985352	0.34182307	-65.046776
17.084961	0.35131815	-66.267517
17.18457	0.32283294	-66.763443
17.28418	0.34182307	-68.098625
17.383789	0.29434773	-68.327515
17.483398	0.26586252	-69.014183
17.583008	0.26586252	-70.540108
17.682617	0.25636744	-71.417519
17.782227	0.24687237	-71.951591
17.881836	0.27535757	-72.600105
17.981445	0.22788222	-74.049736
18.081055	0.24687237	-75.079735
18.180664	0.25636744	-75.537514
18.280273	0.21838716	-76.338623
18.379883	0.27535757	-76.948997
18.479492	0.2373773	-77.330475
18.579102	0.16141672	-78.513069
18.678711	0.19939701	-79.352325
18.77832	0.20889209	-79.123436
18.87793	0.1424266	-80.916405
18.977539	0.1424266	-80.840103
19.077148	0.12343644	-82.022697
19.176758	0.16141672	-83.281586
19.276367	0.12343644	-84.46418
19.375977	0.075961091	-85.417885
19.475586	0.094951235	-85.150848
19.575195	0.13293152	-85.875656
19.674805	0.066466019	-87.477882
19.774414	0.085456163	-87.516029
19.874023	0.10444631	-88.774918
19.973633	0.028485736	-90.1101
20.073242	0.05697095	-90.186401
20.172852	-0.0094945496	-90.415291
20.272461	0.066466019	-91.750473
20.37207	0.037980806	-92.933067
