Sec	mm	kN							
17.78125	0.76910013	77.053154							
17.880859	0.74061489	77.0149							
17.980469	0.75010997	77.780075							
18.080078	0.76910013	79.463455							
18.179688	0.75010997	81.797241							
18.279297	0.79758531	81.644211							
18.378906	0.83556563	82.791969							
18.478516	0.83556563	84.857941							
18.578125	0.83556563	85.431824							
18.677734	0.79758531	86.005707							
18.777344	0.91152614	88.530785							
18.876953	0.88304096	88.569046							
18.976563	0.87354589	90.443726							
19.076172	0.88304096	90.137657							
19.175781	0.87354589	91.821037							
19.275391	0.88304096	92.586212							
19.375	0.91152614	93.466164							
19.474609	0.89253604	94.460892							
19.574219	0.92102122	95.570396							
19.673828	0.94001138	96.106018							
19.773438	0.94001138	97.751152							
19.873047	0.91152614	98.784134							
19.972656	0.96849662	99.9319							
20.072266	0.96849662	101.2327							
20.171875	0.98748672	102.49524							
20.271484	1.0539522	103.33693							
20.371094	1.0349621	103.91081							
20.470703	1.0349621	105.86201							
20.570313	0.97799164	105.63245							
20.669922	0.9969818	106.74196							
20.769531	1.0349621	108.34882							
20.869141	1.0159719	108.96097							
20.96875	1.1109227	110.07047							
21.068359	1.0634474	110.37654							
21.167969	1.0919325	112.86336							
21.267578	1.1299129	112.74859							
21.367188	1.0919325	113.43724							
21.466797	1.1394079	115.46496							
21.566406	1.1394079	114.69978							
21.666016	1.1394079	116.72749							
21.765625	1.0729424	117.60744							
21.865234	1.2153684	118.6787							
21.964844	1.158398	119.67342							
22.064453	1.1299129	120.70641							
22.164063	1.2058734	120.97422							
22.263672	1.291329	121.39507							
22.363281	1.1963784	122.65761							
22.462891	1.2248635	123.84363							
22.5625	1.2153684	123.80537							
22.662109	1.2533487	124.57054							
22.761719	1.2058734	125.48875							
22.861328	1.2533487	126.33044							
22.960938	1.2723389	127.70776							
23.060547	1.2628438	128.3199							
23.160156	1.2438537	128.85553							
23.259766	1.2723389	129.88852							
23.359375	1.2438537	130.38588							
23.458984	1.3198142	131.83971							
23.558594	1.3388044	132.14578							
23.658203	1.3577945	132.83444							
23.757813	1.3482995	133.21703							
23.857422	1.4052699	133.86743							
23.957031	1.3388044	135.32126							
24.056641	1.3482995	136.16295							
24.15625	1.3767847	136.46902							
24.255859	1.3957748	137.34897							
24.355469	1.3577945	137.54027							
24.455078	1.4052699	139.10887							
24.554688	1.3957748	138.72629							
24.654297	1.3957748	140.14186							
24.753906	1.433755	140.52444							
24.853516	1.3862797	140.60097							
24.953125	1.4527452	142.05479							
25.052734	1.5097157	142.16957							
25.152344	1.4812305	143.31734							
25.251953	1.5002205	143.39386							
25.351563	1.5097157	143.54689							
25.451172	1.5097157	145.42157							
25.550781	1.5287058	145.34505							
25.650391	1.5382009	146.33978							
25.75	1.5097157	146.07198							
25.849609	1.6141615	146.49281							
25.949219	1.5761812	147.44928							
26.048828	1.5856762	148.02316							
26.148438	1.5761812	148.06143							
26.248047	1.5856762	147.75536							
26.347656	1.6046664	147.98491							
26.447266	1.566686	149.51526							
26.546875	1.6046664	149.24745							
26.646484	1.680627	149.74481							
26.746094	1.6141615	151.12213							
26.845703	1.6521417	150.73955							
26.945313	1.6521417	151.16039							
27.044922	1.6711318	151.12213							
27.144531	1.680627	152.34641							
27.244141	1.7281023	151.84904							
27.34375	1.6616368	152.72899							
27.443359	1.7186072	154.41238							
27.542969	1.6711318	153.57069							
27.642578	1.7470925	154.52716							
27.742188	1.690122	154.56541							
27.841797	1.7186072	155.56015							
27.941406	1.7565875	155.7897							
28.041016	1.8040628	156.09576							
28.140625	1.813558	156.86095							
28.240234	1.7850727	156.7079							
28.339844	1.7565875	156.8992							
28.439453	1.823053	158.3913							
28.539063	1.8515382	157.70264							
28.638672	1.813558	158.50607							
28.738281	1.832548	159.00343							
28.837891	1.8610333	158.73563							
28.9375	1.8515382	159.34776							
29.037109	1.8895185	158.88866							
29.136719	1.8515382	159.92165							
29.236328	1.8515382	158.88866							
29.335938	1.8990135	156.40184							
29.435547	1.946489	154.56541							
29.535156	1.8895185	153.8385							
29.634766	1.9369938	154.83322							
29.734375	1.9369938	154.41238							
29.833984	1.9369938	155.5984							
29.933594	1.9274988	154.56541							
30.033203	2.0034595	155.44537							
30.132813	1.9844692	156.86095							
0.15625	1.9274988	145.38332							
0.25585938	1.9939643	145.03899							
0.35546875	1.9844692	143.39386							
0.45507813	1.9749742	141.06007							
0.5546875	1.965479	139.37669							
0.65429688	2.0129545	137.99937							
0.75390625	1.965479	137.57852							
0.85351563	1.9274988	136.12469							
0.953125	1.9085087	134.09697							
1.0527344	1.9085087	131.95448							
1.1523438	1.8800235	130.0798							
1.2519531	1.8800235	129.39114							
1.3515625	1.8515382	126.94259							
1.4511719	1.832548	125.83308							
1.5507813	1.8800235	124.6088							
1.6503906	1.8610333	123.34626							
1.75	1.8040628	122.42805							
1.8496094	1.823053	120.32382							
1.9492188	1.8610333	119.40561							
2.0488281	1.832548	118.2961							
2.1484375	1.7850727	116.99531							
2.2480469	1.7660825	116.11536							
2.3476563	1.8040628	114.66152							
2.4472656	1.7186072	113.62854							
2.546875	1.7755777	111.56256							
2.6464844	1.7755777	110.37654							
2.7460938	1.7470925	109.26704							
2.8457031	1.7565875	107.12455							
2.9453125	1.7091122	106.62718							
3.0449219	1.7281023	104.86728							
3.1445313	1.690122	104.06384							
3.2441406	1.699617	103.14564							
3.34375	1.6521417	101.30921							
3.4433594	1.6521417	100.65881							
3.5429688	1.6426467	97.980698							
3.6425781	1.6711318	98.095474							
3.7421875	1.6236565	97.368561							
3.8417969	1.5856762	95.914726							
3.9414063	1.5856762	94.078308							
4.0410156	1.566686	93.963531							
4.140625	1.6046664	92.241882							
4.2402344	1.6331515	91.55323							
4.3398438	1.566686	90.673279							
4.4394531	1.6046664	89.334221							
4.5390625	1.5287058	87.727348							
4.6386719	1.557191	87.07695							
4.7382813	1.557191	86.426552							
4.8378906	1.5097157	84.322319							
4.9375	1.557191	84.743164							
5.0371094	1.4812305	83.098038							
5.1367188	1.5192107	81.682465							
5.2363281	1.5002205	80.955551							
5.3359375	1.4907255	79.119125							
5.4355469	1.5002205	78.660027							
5.5351563	1.4622403	77.320969							
5.6347656	1.433755	77.091415							
5.734375	1.4622403	76.020172							
5.8339844	1.414765	73.839417							
5.9335938	1.4527452	73.839417							
6.0332031	1.4052699	72.500366							
6.1328125	1.414765	71.69693							
6.2324219	1.42426	70.204834							
6.3320313	1.3862797	69.439659							
6.4316406	1.3577945	68.177124							
6.53125	1.3577945	66.952843							
6.6308594	1.3672895	65.805077							
6.7304688	1.3862797	64.733833							
6.8300781	1.3482995	63.203484							
6.9296875	1.3198142	62.935673							
7.0292969	1.3482995	61.214027							
7.1289063	1.291329	59.989746							
7.2285156	1.2723389	59.874969							
7.328125	1.3198142	58.727207							
7.4277344	1.2818339	57.65596							
7.5273438	1.300824	55.743023							
7.6269531	1.2533487	55.016106							
7.7265625	1.2153684	55.283916							
7.8261719	1.2628438	53.332722							
7.9257813	1.2723389	52.223217							
8.0253906	1.1773882	51.878887							
8.125	1.2153684	51.075455							
8.2246094	1.1489029	49.698139							
8.3242188	1.2058734	48.053009							
8.4238281	1.2058734	48.397339							
8.5234375	1.1489029	46.025295							
8.6230469	1.1299129	45.374897							
8.7226563	1.158398	44.456688							
8.8222656	1.1204177	43.232407							
8.921875	1.1678931	42.735043							
9.0214844	1.0729424	41.778572							
9.1210938	1.1204177	40.362999							
9.2207031	1.1014276	39.368271							
9.3203125	1.1109227	38.105732							
9.4199219	1.1299129	37.340557							
9.5195313	1.0634474	37.034485							
9.6191406	1.0729424	35.389359							
9.71875	1.0349621	34.73896							
9.8183594	1.0634474	32.864281							
9.9179688	1.0444572	32.787762							
10.017578	1.0539522	31.486965							
10.117188	0.95900154	30.530495							
10.216797	0.98748672	29.688803							
10.316406	0.95900154	28.808851							
10.416016	0.96849662	27.508053							
10.515625	0.97799164	26.589842							
10.615234	0.92102122	25.480339							
10.714844	1.0064769	24.944715							
10.814453	0.9305163	22.993519							
10.914063	0.91152614	23.223072							
11.013672	0.91152614	21.807497							
11.113281	0.9305163	22.03705							
11.212891	0.88304096	20.238888							
11.3125	0.89253604	19.167643							
11.412109	0.88304096	18.632019							
11.511719	0.90203112	16.795599							
11.611328	0.79758531	16.566046							
11.710938	0.83556563	15.647836							
11.810547	0.81657547	13.96445							
11.910156	0.75010997	14.079226							
12.009766	0.86405081	13.314051							
12.109375	0.77859515	12.434099							
12.208984	0.80708039	11.095042							
12.308594	0.83556563	10.521161							
12.408203	0.79758531	9.7559853							
12.507813	0.73111981	9.0290689							
12.607422	0.73111981	8.0725994							
12.707031	0.76910013	6.8100605							
12.806641	0.73111981	6.2744374							
12.90625	0.74061489	5.2797098							
13.005859	0.72162473	4.3232403							
13.105469	0.70263463	3.0224423							
13.205078	0.73111981	2.448561							
13.304688	0.66465431	0.72691637							
13.404297	0.74061489	0.57388133							
13.503906	0.70263463	-0.38258785							
13.603516	0.70263463	-0.87995178							
13.703125	0.67414939	-1.8746797							
13.802734	0.64566416	-2.7163725							
13.902344	0.61717898	-3.2902541							
14.001953	0.59818882	-4.3232408							
